mins,price,closeTime,timestamp,fetch_time,price_float
5,64888.12003442,1771892850203,2026-02-24T01:27:32.313571,2026-02-24 01:27:32,64888.12003442
5,64871.51196386,1771892911677,2026-02-24T01:28:32.321055,2026-02-24 01:28:32,64871.51196386
5,64860.37605168,1771892971513,2026-02-24T01:29:32.432815,2026-02-24 01:29:32,64860.37605168
5,64837.92717223,1771893032283,2026-02-24T01:30:32.539796,2026-02-24 01:30:32,64837.92717223
5,64850.85510889,1771893092238,2026-02-24T01:31:32.649801,2026-02-24 01:31:32,64850.85510889
5,64853.16363195,1771893152355,2026-02-24T01:32:32.656809,2026-02-24 01:32:32,64853.16363195
5,64859.05140578,1771893212325,2026-02-24T01:33:32.733245,2026-02-24 01:33:32,64859.05140578
5,64859.51474965,1771893272430,2026-02-24T01:34:32.876089,2026-02-24 01:34:32,64859.51474965
5,64864.04445809,1771893332080,2026-02-24T01:35:32.883272,2026-02-24 01:35:32,64864.04445809
5,64867.63293883,1771893391838,2026-02-24T01:36:32.071096,2026-02-24 01:36:32,64867.63293883
5,64883.65783074,1771893450627,2026-02-24T01:37:32.182311,2026-02-24 01:37:32,64883.65783074
5,64901.49129166,1771893511917,2026-02-24T01:38:32.290442,2026-02-24 01:38:32,64901.49129166
5,64904.06421335,1771893571776,2026-02-24T01:39:32.297481,2026-02-24 01:39:32,64904.06421335
5,64915.4836707,1771893632236,2026-02-24T01:40:32.407500,2026-02-24 01:40:32,64915.4836707
5,64944.70875696,1771893692244,2026-02-24T01:41:32.515956,2026-02-24 01:41:32,64944.70875696
5,64953.55934029,1771893752250,2026-02-24T01:42:32.544564,2026-02-24 01:42:32,64953.55934029
5,64960.47174233,1771893812116,2026-02-24T01:43:32.633587,2026-02-24 01:43:32,64960.47174233
5,64963.76467771,1771893872490,2026-02-24T01:44:32.743710,2026-02-24 01:44:32,64963.76467771
5,64961.29680161,1771893932461,2026-02-24T01:45:32.750259,2026-02-24 01:45:32,64961.29680161
5,64949.52653606,1771893992141,2026-02-24T01:46:32.818075,2026-02-24 01:46:32,64949.52653606
